izoneareaid,level,vroleid,expchange,expreason,expsubreason,mapid,sumexp,,54939
1204,48,0X04B402013C336A85,3,20,0,15,328752,,
1204,46,0X04B402013C336A85,15,20,0,34,930948,,
1204,46,0X04B402013C336A85,15,20,0,34,931161,,
1204,46,0X04B402013C336A85,17,20,0,34,931474,,
1204,46,0X04B402013C336A85,17,20,0,34,928092,,
1204,46,0X04B402013C336A85,15,20,0,34,928107,,
1204,46,0X04B402013C336A85,17,20,0,34,928397,,
1204,46,0X04B402013C336A85,17,20,0,34,928510,,
1204,46,0X04B402013C336A85,17,20,0,34,928574,,
1204,46,0X04B402013C336A85,17,20,0,34,930701,,
1204,46,0X04B402013C336A85,17,20,0,34,930718,,
1204,46,0X04B402013C336A85,17,20,0,34,930767,,
1204,46,0X04B402013C336A85,8,20,0,351,922547,,
1204,46,0X04B402013C336A85,8,20,0,351,922675,,
1204,46,0X04B402013C336A85,8,20,0,351,922747,,
1204,46,0X04B402013C336A85,8,20,0,351,924964,,
1204,46,0X04B402013C336A85,8,20,0,351,925004,,
1204,46,0X04B402013C336A85,8,20,0,351,925076,,
1204,46,0X04B402013C336A85,8,20,0,351,925140,,
1204,46,0X04B402013C336A85,8,20,0,351,925188,,
1204,46,0X04B402013C336A85,8,20,0,351,925164,,
1204,46,0X04B402013C336A85,8,20,0,351,925236,,
1204,46,0X04B402013C336A85,8,20,0,351,925276,,
1204,46,0X04B402013C336A85,8,20,0,351,925284,,
1204,44,0X04B402013C336A85,13,20,0,21,404898,,
1204,44,0X04B402013C336A85,14,20,0,21,404885,,
1204,44,0X04B402013C336A85,13,20,0,21,404911,,
1204,44,0X04B402013C336A85,14,20,0,21,404938,,
1204,44,0X04B402013C336A85,13,20,0,21,404924,,
1204,44,0X04B402013C336A85,14,20,0,21,404965,,
1204,44,0X04B402013C336A85,13,20,0,21,404951,,
1204,44,0X04B402013C336A85,14,20,0,21,404979,,
1204,44,0X04B402013C336A85,14,20,0,21,404993,,
